iter	Passed	Remaining
0	0	90
1	1	82
2	2	80
3	3	74
4	3	74
5	4	72
6	5	72
7	6	71
8	6	69
9	7	66
10	8	64
11	8	62
12	8	60
13	9	58
14	9	56
15	10	54
16	11	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	24	31
44	25	31
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	24
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
