iter	Passed	Remaining
0	203	202865
1	206	102973
2	208	69259
3	210	52475
4	212	42362
5	215	35699
6	217	30869
7	220	27320
8	221	24429
9	223	22110
10	224	20212
11	226	18614
12	227	17247
13	228	16076
14	229	15057
15	230	14156
16	231	13360
17	231	12654
18	232	12020
19	233	11453
20	234	10943
21	235	10476
22	236	10042
23	237	9646
24	237	9281
25	238	8940
26	239	8622
27	239	8328
28	240	8058
29	241	7804
30	242	7565
31	242	7344
32	243	7132
33	243	6932
34	244	6742
35	245	6564
36	245	6395
37	246	6235
38	246	6082
39	247	5937
40	247	5798
41	248	5665
42	249	5547
43	249	5429
44	250	5315
45	251	5205
46	251	5099
47	251	4997
48	252	4900
49	252	4806
50	253	4716
51	253	4629
52	254	4546
53	254	4467
54	255	4389
55	255	4315
56	256	4243
57	256	4173
58	257	4106
59	258	4043
60	258	3980
61	259	3919
62	259	3860
63	260	3803
64	260	3747
65	261	3693
66	261	3641
67	261	3590
68	262	3541
69	262	3493
70	263	3447
71	264	3403
72	264	3361
73	265	3319
74	265	3277
75	266	3237
76	266	3197
77	267	3158
78	267	3120
79	268	3084
80	268	3047
81	269	3013
82	269	2976
83	269	2943
84	270	2911
85	270	2879
86	271	2848
87	271	2818
88	272	2788
89	272	2759
90	273	2730
91	273	2702
92	274	2675
93	274	2648
94	275	2622
95	275	2597
96	276	2571
97	276	2547
98	277	2522
99	277	2499
100	278	2475
101	278	2453
102	279	2431
103	279	2412
104	280	2392
105	281	2371
106	281	2350
107	282	2330
108	282	2310
109	283	2290
110	283	2271
111	284	2252
112	284	2233
113	285	2215
114	285	2198
115	286	2180
116	286	2162
117	287	2145
118	287	2128
119	287	2111
120	288	2095
121	288	2078
122	289	2063
123	289	2047
124	290	2032
125	290	2017
126	291	2001
127	291	1987
128	292	1972
129	292	1958
130	293	1944
131	293	1930
132	294	1918
133	294	1906
134	295	1894
135	296	1881
136	296	1868
137	297	1855
138	297	1843
139	298	1831
140	298	1819
141	298	1806
142	299	1795
143	300	1783
144	300	1773
145	301	1762
146	301	1751
147	302	1740
148	302	1729
149	303	1718
150	303	1708
151	304	1697
152	304	1687
153	305	1676
154	305	1666
155	306	1656
156	306	1646
157	307	1636
158	307	1627
159	308	1617
160	308	1607
161	309	1598
162	309	1590
163	310	1583
164	311	1574
165	311	1565
166	312	1557
167	312	1548
168	313	1540
169	313	1531
170	314	1523
171	314	1514
172	315	1506
173	315	1498
174	316	1490
175	316	1482
176	317	1474
177	317	1466
178	318	1458
179	318	1451
180	319	1443
181	319	1436
182	319	1428
183	320	1421
184	320	1413
185	321	1406
186	321	1399
187	322	1392
188	322	1385
189	323	1378
190	323	1371
191	324	1365
192	325	1360
193	325	1354
194	326	1347
195	326	1341
196	327	1334
197	327	1328
198	328	1322
199	328	1315
200	329	1309
201	329	1303
202	330	1297
203	330	1290
204	331	1284
205	331	1278
206	332	1272
207	332	1267
208	333	1261
209	333	1255
210	334	1249
211	334	1244
212	335	1238
213	335	1232
214	336	1227
215	336	1221
216	337	1216
217	337	1211
218	338	1205
219	338	1200
220	339	1195
221	340	1191
222	340	1186
223	341	1181
224	341	1176
225	342	1171
226	342	1166
227	343	1161
228	343	1156
229	344	1152
230	344	1147
231	345	1142
232	345	1137
233	346	1132
234	346	1128
235	347	1123
236	347	1118
237	348	1114
238	348	1109
239	348	1105
240	349	1100
241	349	1096
242	350	1091
243	350	1087
244	351	1082
245	351	1078
246	352	1074
247	352	1069
248	353	1065
249	353	1061
250	354	1058
251	355	1055
252	356	1051
253	356	1047
254	357	1043
255	357	1039
256	358	1035
257	358	1031
258	359	1027
259	359	1023
260	360	1019
261	360	1015
262	361	1012
263	361	1008
264	362	1004
265	362	1000
266	363	996
267	363	993
268	364	989
269	364	985
270	365	982
271	365	978
272	366	974
273	366	971
274	366	967
275	367	963
276	367	960
277	368	956
278	369	953
279	369	951
280	370	947
281	370	944
282	371	941
283	372	937
284	372	934
285	372	931
286	373	927
287	373	924
288	374	921
289	374	917
290	375	914
291	375	911
292	376	908
293	376	905
294	377	901
295	377	898
296	378	895
297	378	892
298	379	889
299	379	886
300	380	883
301	380	880
302	381	877
303	381	874
304	382	871
305	382	868
306	383	865
307	383	862
308	384	859
309	385	857
310	385	854
311	386	851
312	386	849
313	387	846
314	387	843
315	388	840
316	388	837
317	389	834
318	389	832
319	390	829
320	390	826
321	391	823
322	391	821
323	392	818
324	392	815
325	393	814
326	395	814
327	397	813
328	398	812
329	399	811
330	400	809
331	401	808
332	403	807
333	404	806
334	405	805
335	406	803
336	407	802
337	408	801
338	410	800
339	412	800
340	413	798
341	414	797
342	415	796
343	417	795
344	418	793
345	419	792
346	420	791
347	421	789
348	422	788
349	423	786
350	425	786
351	426	785
352	428	784
353	429	783
354	430	781
355	431	780
356	432	778
357	433	777
358	434	775
359	435	774
360	436	772
361	437	771
362	438	770
363	440	770
364	442	769
365	443	768
366	444	766
367	445	764
368	445	762
369	446	760
370	447	759
371	448	757
372	449	755
373	450	753
374	450	751
375	451	749
376	452	747
377	452	745
378	453	743
379	454	741
380	455	740
381	456	738
382	457	736
383	457	734
384	458	732
385	459	730
386	459	728
387	460	726
388	461	724
389	461	722
390	462	719
391	462	717
392	463	715
393	463	713
394	464	711
395	464	709
396	465	707
397	466	704
398	466	702
399	467	700
400	467	698
401	468	696
402	468	694
403	469	692
404	470	690
405	470	688
406	471	686
407	471	684
408	472	682
409	472	680
410	473	678
411	473	675
412	474	673
413	474	671
414	475	669
415	475	667
416	476	665
417	476	663
418	477	661
419	477	659
420	477	657
421	478	655
422	478	653
423	479	651
424	479	649
425	480	647
426	480	645
427	481	643
428	481	641
429	482	639
430	482	637
431	483	635
432	483	633
433	484	631
434	485	630
435	485	628
436	486	626
437	486	624
438	487	622
439	487	620
440	488	619
441	488	617
442	489	615
443	489	613
444	490	611
445	490	609
446	491	607
447	491	605
448	492	604
449	492	602
450	493	600
451	493	598
452	494	596
453	494	594
454	495	593
455	495	591
456	496	589
457	496	587
458	497	586
459	497	584
460	498	582
461	498	580
462	499	579
463	499	577
464	500	576
465	501	574
466	502	573
467	502	571
468	503	569
469	503	568
470	504	566
471	505	565
472	505	563
473	506	561
474	506	559
475	506	558
476	507	556
477	507	554
478	508	552
479	508	551
480	509	549
481	509	547
482	510	546
483	510	544
484	511	543
485	511	541
486	512	539
487	512	538
488	513	536
489	513	534
490	514	533
491	514	531
492	515	530
493	516	528
494	516	527
495	517	525
496	517	523
497	518	522
498	518	520
499	519	519
500	519	517
501	520	515
502	520	514
503	521	512
504	521	511
505	521	509
506	522	508
507	522	506
508	523	504
509	523	503
510	524	502
511	525	500
512	525	499
513	526	497
514	526	495
515	527	494
516	527	492
517	528	491
518	528	489
519	529	488
520	530	487
521	530	485
522	531	484
523	532	483
524	532	481
525	532	480
526	533	478
527	533	477
528	534	475
529	534	474
530	535	472
531	535	471
532	536	469
533	536	468
534	537	467
535	537	465
536	538	464
537	538	462
538	539	461
539	539	459
540	540	458
541	540	456
542	541	455
543	541	454
544	542	452
545	543	451
546	543	450
547	544	448
548	544	447
549	545	446
550	545	444
551	546	443
552	547	442
553	547	440
554	548	439
555	548	438
556	548	436
557	549	435
558	549	433
559	550	432
560	550	431
561	551	429
562	551	428
563	552	427
564	552	425
565	553	424
566	553	422
567	554	421
568	554	420
569	555	418
570	555	417
571	556	416
572	556	414
573	557	413
574	557	412
575	558	410
576	558	409
577	559	408
578	560	407
579	561	406
580	562	405
581	562	404
582	563	403
583	563	401
584	564	400
585	564	399
586	565	397
587	566	396
588	566	395
589	567	394
590	567	392
591	568	391
592	568	390
593	569	388
594	569	387
595	569	386
596	570	385
597	570	383
598	571	382
599	571	381
600	572	379
601	572	378
602	573	377
603	573	376
604	575	375
605	576	374
606	576	373
607	577	372
608	577	370
609	578	369
610	578	368
611	579	367
612	579	366
613	580	364
614	580	363
615	581	362
616	581	361
617	582	359
618	582	358
619	583	357
620	583	356
621	584	355
622	584	353
623	585	352
624	585	351
625	586	350
626	586	349
627	587	347
628	587	346
629	588	345
630	588	344
631	589	343
632	590	342
633	590	341
634	591	339
635	591	338
636	592	337
637	593	336
638	593	335
639	593	334
640	594	332
641	595	331
642	595	330
643	596	329
644	596	328
645	597	327
646	597	326
647	598	324
648	598	323
649	599	322
650	599	321
651	599	320
652	600	319
653	600	317
654	601	316
655	601	315
656	602	314
657	602	313
658	603	312
659	604	311
660	605	310
661	605	309
662	606	308
663	606	307
664	607	305
665	607	304
666	608	303
667	608	302
668	609	301
669	609	300
670	610	299
671	610	298
672	611	297
673	612	296
674	612	294
675	612	293
676	613	292
677	613	291
678	614	290
679	614	289
680	615	288
681	615	287
682	616	286
683	616	284
684	617	283
685	617	282
686	618	281
687	618	280
688	619	279
689	619	278
690	620	277
691	620	276
692	621	275
693	622	274
694	623	273
695	623	272
696	624	271
697	624	270
698	625	269
699	625	268
700	626	267
701	626	266
702	627	265
703	627	263
704	628	262
705	628	261
706	629	260
707	629	259
708	630	258
709	630	257
710	631	256
711	631	255
712	632	254
713	632	253
714	633	252
715	633	251
716	634	250
717	634	249
718	635	248
719	635	247
720	636	246
721	636	245
722	637	244
723	638	243
724	638	242
725	639	241
726	639	240
727	640	239
728	640	238
729	641	237
730	641	236
731	642	235
732	642	234
733	642	233
734	643	231
735	643	230
736	644	229
737	644	228
738	645	227
739	645	226
740	646	225
741	646	224
